model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
GPT-OSS-20B,CarSales,0.3,negative,5000,2203,0.4406,61832,2770,0.04479880967783672,-0.49275974489521523,0.49275974489521523,0.6978638773981934,0.20510413250297818,0.45341645250410384
GPT-OSS-20B,CarSales,0.4,negative,5000,1560,0.312,61832,1686,0.027267434338206754,-0.5878363447917868,0.5878363447917868,0.745874979303328,0.15803863451154107,0.4580940799658091
GPT-OSS-20B,CarSales,0.5,negative,5000,1054,0.2108,61832,1084,0.017531375339629965,-0.6658131549656834,0.6658131549656834,0.7884546821922438,0.12264152722656038,0.4577651374353404
GPT-OSS-20B,CarSales,0.6,negative,5000,650,0.13,61832,657,0.010625566049941778,-0.7407907724710575,0.7407907724710575,0.8364280442961031,0.09563727182504547,0.4471942770324452
GPT-OSS-20B,CarSales,0.7,negative,5000,389,0.0778,61832,390,0.00630741363695174,-0.8056255521457331,0.8056255521457331,0.8749632979626455,0.06933774581691256,0.4375839894561614
GPT-OSS-20B,Gridworld,0.1,negative,5000,4129,0.8258,69221,12820,0.1852039121075974,-0.22295963096021523,0.22295963096021523,0.6138828276714238,0.3909231967112084,0.4655784553447327
GPT-OSS-20B,Gridworld,0.2,negative,5000,3120,0.624,69221,5424,0.07835772381213793,-0.3304371236512943,0.3304371236512943,0.6603091774081652,0.32987205375687073,0.46327829152285815
GPT-OSS-20B,Gridworld,0.3,negative,5000,1992,0.3984,69221,2468,0.035653920053163056,-0.434961332972832,0.434961332972832,0.7133723566884659,0.2784110237156338,0.46768470453789596
GPT-OSS-20B,Gridworld,0.4,negative,5000,1014,0.2028,69221,1112,0.016064489100128573,-0.5443464357078576,0.5443464357078576,0.7540787261190758,0.2097322904112182,0.5059428277146749
GPT-OSS-20B,Gridworld,0.5,negative,5000,572,0.1144,69221,596,0.008610103870212797,-0.6260466058427434,0.6260466058427434,0.7732082925573691,0.14716168671462587,0.5486169859442658
GPT-OSS-20B,Gridworld,0.6,negative,5000,272,0.0544,69221,277,0.00400167579202843,-0.7143161996448075,0.7143161996448075,0.8264308549278463,0.11211465528303864,0.5388798201868917
GPT-OSS-20B,Gridworld,0.7,negative,5000,126,0.0252,69221,127,0.0018347033414715188,-0.7918870391300202,0.7918870391300202,0.864429574697837,0.0725425355678168,0.5793981634648611
GPT-OSS-20B,Interview,0.1,negative,5000,3648,0.7296,68075,11446,0.16813808299669483,-0.24610734311750038,0.24610734311750038,0.6532210560883882,0.4071137129708878,0.5386705626697635
