Model,Environment,Threshold,Coverage,Mean Δ_k,Pre-rate,Post-rate,Examples,Pairs
Qwen-14B,AdvisorAudit,0.4,0.152,-0.5276647871862682,0.7050731001447035,0.1774083129584352,760,818
Qwen-14B,AdvisorAudit,0.5,0.0724,-0.6151466666666667,0.75488,0.13973333333333335,362,375
Qwen-14B,AdvisorAudit,0.6,0.0292,-0.7090666666666666,0.81,0.10093333333333335,146,150
Qwen-14B,AdvisorAudit,0.7,0.012,-0.803,0.8733333333333333,0.07033333333333333,60,60
Qwen-14B,BS,0.1,0.7513502700540108,-0.17554739135953631,0.5238880973310571,0.3483407059715208,3756,7221
Qwen-14B,BS,0.2,0.27725545109021804,-0.28076672806577746,0.5798688467823935,0.2991021187166161,1386,1759
Qwen-14B,BS,0.3,0.08621724344868974,-0.3957592936162494,0.6285164840068344,0.2327571903905849,431,470
Qwen-14B,BS,0.4,0.03120624124824965,-0.5101976874853759,0.6798612722775011,0.16966358479212532,156,158
Qwen-14B,BS,0.5,0.01240248049609922,-0.6029844909830641,0.7198141494516833,0.11682965846861923,62,62
Qwen-14B,BS,0.6,0.005001000200040008,-0.6822249772852185,0.7633911249604902,0.08116614767527164,25,25
Qwen-14B,BS,0.7,0.0016003200640128026,-0.7663119369774549,0.8129807419627921,0.04666880498533724,8,8
Qwen-14B,CarSales,0.1,0.8604883907125701,-0.20314526383323078,0.6076794454968082,0.4045341816635773,4299,11825
Qwen-14B,CarSales,0.2,0.5742594075260208,-0.30441067343537626,0.6399222658193432,0.3355115923839669,2869,4426
Qwen-14B,CarSales,0.3,0.2932345876701361,-0.40366650602419946,0.6875791894875233,0.28391268346332377,1465,1705
Qwen-14B,CarSales,0.4,0.1255004003202562,-0.501684657511483,0.7304157809075524,0.22873112339606935,627,663
Qwen-14B,CarSales,0.5,0.05044035228182546,-0.5976985396624805,0.7705398371762969,0.17284129751381636,252,255
Qwen-14B,CarSales,0.6,0.018815052041633307,-0.694818294569248,0.8306548616839277,0.13583656711467973,94,94
Qwen-14B,CarSales,0.7,0.00700560448358687,-0.7855796437370239,0.875288351803761,0.08970870806673702,35,35
Qwen-14B,Gridworld,0.1,0.6167233446689337,-0.17050850724194422,0.4378424578618144,0.2673339506198702,3083,4871
Qwen-14B,Gridworld,0.2,0.1850370074014803,-0.2747043532241794,0.5378982695739892,0.2631939163498099,925,1052
Qwen-14B,Gridworld,0.3,0.05341068213642729,-0.38361010830324904,0.604187725631769,0.22057761732851988,267,277
Qwen-14B,Gridworld,0.4,0.015803160632126424,-0.5042500000000001,0.6545,0.15025,79,80
Qwen-14B,Gridworld,0.5,0.0054010802160432084,-0.5970370370370369,0.6814814814814816,0.08444444444444445,27,27
Qwen-14B,Gridworld,0.6,0.0018003600720144029,-0.6866666666666665,0.7333333333333333,0.04666666666666667,9,9
Qwen-14B,Gridworld,0.7,0.000600120024004801,-0.7733333333333333,0.8066666666666666,0.033333333333333326,3,3
Qwen-14B,Interview,0.1,0.5620248099239696,-0.23750796865634502,0.6825486019477529,0.44504063329140797,2809,8753
Qwen-14B,Interview,0.2,0.46078431372549017,-0.33672748452505785,0.7075685315302208,0.37084104700516296,2303,4145
Qwen-14B,Interview,0.3,0.32713085234093636,-0.43391663906710615,0.7453385113974823,0.3114218723303762,1635,2025
Qwen-14B,Interview,0.4,0.18067226890756302,-0.5299541313509653,0.7900918790752816,0.26013774772431636,903,964
Qwen-14B,Interview,0.5,0.09183673469387756,-0.6110452811573907,0.8321245421245421,0.2210792609671514,459,468
Qwen-14B,Interview,0.6,0.037815126050420166,-0.7002923758009623,0.8767755102040816,0.17648313440311938,189,190
Qwen-14B,Interview,0.7,0.014405762304921969,-0.784317153592516,0.9057879818594103,0.12147082826689452,72,72
