model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
GPT-OSS-20B,Gridworld,0.2,positive,5000,1648,0.3296,69221,2206,0.03186894150619032,0.2880351423697145,0.2880351423697145,0.46604279507186336,0.7540779374415778,0.6285310197671539
GPT-OSS-20B,Gridworld,0.3,positive,5000,654,0.1308,69221,715,0.010329235347654614,0.3864939780103678,0.3864939780103678,0.4097634877819262,0.7962574657922942,0.6878822957288608
GPT-OSS-20B,Gridworld,0.4,positive,5000,219,0.0438,69221,223,0.0032215657098279425,0.4873218796042469,0.4873218796042469,0.3486041169100769,0.8359259965143238,0.7165050467279431
GPT-OSS-20B,Gridworld,0.5,positive,5000,57,0.0114,69221,57,0.0008234495312116265,0.602999878059538,0.602999878059538,0.22606563267337543,0.8290655107329135,0.7171851826650589
GPT-OSS-20B,Gridworld,0.6,positive,5000,20,0.004,69221,20,0.0002889296600742549,0.7129950065132435,0.7129950065132435,0.17835938630771456,0.8913543928209583,0.7755532212885156
GPT-OSS-20B,Gridworld,0.7,positive,5000,10,0.002,69221,10,0.00014446483003712745,0.78263420900275,0.78263420900275,0.13526606600086843,0.9179002750036183,0.8437009803921569
GPT-OSS-20B,Interview,0.1,positive,5000,2997,0.5994,68075,5194,0.07629820051413881,0.17827592530944547,0.17827592530944547,0.5648234389485278,0.7430993642579734,0.5770567489117173
GPT-OSS-20B,Interview,0.2,positive,5000,1127,0.2254,68075,1422,0.020888725670216674,0.28812629855667315,0.28812629855667315,0.44806058694114986,0.7361868854978231,0.6260622285085552
GPT-OSS-20B,Interview,0.3,positive,5000,430,0.086,68075,469,0.0068894601542416455,0.38487837788891327,0.38487837788891327,0.3774474704375379,0.7623258483264512,0.6624199603300946
GPT-OSS-20B,Interview,0.4,positive,5000,140,0.028,68075,144,0.0021153139919206755,0.4823629438073804,0.4823629438073804,0.28527258005293804,0.7676355238603184,0.6593207956259426
GPT-OSS-20B,Interview,0.5,positive,5000,39,0.0078,68075,39,0.0005728975394785164,0.5878774076723376,0.5878774076723376,0.19625250870592484,0.7841299163782625,0.6663336537770927
GPT-OSS-20B,Interview,0.6,positive,5000,13,0.0026,68075,13,0.00019096584649283877,0.6642208475415162,0.6642208475415162,0.17602017030588463,0.8402410178474008,0.6949418228829993
GPT-OSS-20B,Interview,0.7,positive,5000,2,0.0004,68075,2,2.9379360998898273e-05,0.7465136054421768,0.7465136054421768,0.13265306122448983,0.8791666666666667,0.7416666666666667
Llama-8B,AdvisorAudit,0.1,positive,5000,4064,0.8128,71204,10497,0.14742149317454076,0.18794756978891222,0.18794756978891222,0.5029930792528269,0.6909406490417391,0.5555461829758689
Llama-8B,AdvisorAudit,0.2,positive,5000,2420,0.484,71204,3316,0.046570417392281335,0.28541226499006955,0.28541226499006955,0.4467068757539204,0.73211914074399,0.5664656829605741
Llama-8B,AdvisorAudit,0.3,positive,5000,981,0.1962,71204,1086,0.015251952137520364,0.37600098591811293,0.37600098591811293,0.3901012891344383,0.7661022750525512,0.5830904177792381
Llama-8B,AdvisorAudit,0.4,positive,5000,256,0.0512,71204,262,0.0036795685635638447,0.4891984732824427,0.4891984732824427,0.3293893129770993,0.818587786259542,0.6829068841276968
Llama-8B,AdvisorAudit,0.5,positive,5000,76,0.0152,71204,76,0.0010673557665299702,0.5848684210526317,0.5848684210526317,0.2643421052631579,0.8492105263157895,0.7016083407047029
Llama-8B,AdvisorAudit,0.6,positive,5000,21,0.0042,71204,21,0.0002949272512780181,0.7,0.7,0.1980952380952381,0.8980952380952381,0.7574263038548753
Llama-8B,AdvisorAudit,0.7,positive,5000,9,0.0018,71204,9,0.0001263973934048649,0.7566666666666667,0.7566666666666667,0.18666666666666665,0.9433333333333334,0.8433201058201057
Llama-8B,BS,0.1,positive,5000,3567,0.7134,75844,10565,0.13929908760086493,0.18842818021730942,0.18842818021730942,0.45790649780266357,0.6463346780199729,0.5690004053121728
Llama-8B,BS,0.2,positive,5000,2296,0.4592,75844,3226,0.04253467644111598,0.29681103267536235,0.29681103267536235,0.4218600286114138,0.7186710612867762,0.6173393038204679
Llama-8B,BS,0.3,positive,5000,1053,0.2106,75844,1157,0.015254997099309109,0.39896543304957904,0.39896543304957904,0.39453643387009957,0.7935018669196786,0.6840233008302051
Llama-8B,BS,0.4,positive,5000,415,0.083,75844,421,0.005550867570275829,0.5009606134785841,0.5009606134785841,0.3543033892476925,0.8552640027262768,0.738825893960727
Llama-8B,BS,0.5,positive,5000,154,0.0308,75844,154,0.0020304836242814196,0.5959414198174575,0.5959414198174575,0.2582592435030969,0.8542006633205543,0.6970535183770479
Llama-8B,BS,0.6,positive,5000,57,0.0114,75844,57,0.0007515426401561099,0.6814573490418107,0.6814573490418107,0.20453201122270284,0.8859893602645134,0.7103199174406606
Llama-8B,BS,0.7,positive,5000,17,0.0034,75844,17,0.00022414429618690997,0.7607047061270594,0.7607047061270594,0.1737863023975625,0.934491008524622,0.773053633217993
Llama-8B,CarSales,0.1,positive,3079,2475,0.8038324131211432,37742,7244,0.19193471464151343,0.222962693785176,0.222962693785176,0.3807099051881368,0.6036725989733127,0.5909200888304285
Llama-8B,CarSales,0.2,positive,3079,1873,0.608314387788243,37742,3127,0.08285199512479466,0.3251505723954277,0.3251505723954277,0.3627715263890216,0.6879220987844494,0.6440158689159329
Llama-8B,CarSales,0.3,positive,3079,1160,0.37674569665475804,37742,1396,0.0369879709607334,0.42615281935553767,0.42615281935553767,0.3427937272307815,0.7689465465863192,0.713047980553353
Llama-8B,CarSales,0.4,positive,3079,597,0.1938941214680091,37742,627,0.016612792114885273,0.5265915870994252,0.5265915870994252,0.2917124209928285,0.8183040080922537,0.754541398261494
Llama-8B,CarSales,0.5,positive,3079,297,0.09645988957453719,37742,299,0.007922208679985162,0.6108440349097282,0.6108440349097282,0.2434590344877675,0.8543030693974957,0.7795092031714105
Llama-8B,CarSales,0.6,positive,3079,116,0.037674569665475804,37742,116,0.0030734990196597954,0.7085358060402605,0.7085358060402605,0.19184936334874758,0.9003851693890081,0.8216854625259798
Llama-8B,CarSales,0.7,positive,3079,54,0.017538161740824943,37742,54,0.0014307667850140427,0.7742674234936139,0.7742674234936139,0.14704430490144774,0.9213117283950616,0.8236986007819341
Llama-8B,Gridworld,0.1,positive,5000,3686,0.7372,70669,10839,0.15337701113642474,0.2047607612325125,0.2047607612325125,0.44508341877136426,0.6498441800038769,0.5512161708881885
Llama-8B,Gridworld,0.2,positive,5000,2603,0.5206,70669,4021,0.056899064653525594,0.30868490338580823,0.30868490338580823,0.36176729760282317,0.6704522009886313,0.5437993262254127
